TotalFactura,Diferenciada,TotalFactura_sqrt,Log_TotalFactura,TotalFactura_yeojohnson,campaña_marketing,cierre_hotel,Predicción_ARIMA,Predicción_SARIMA_cuadrado,Predicción_SARIMA_sarimax_train,Predicción_SARIMA_sarimax,Fecha
0.0,-1232.0,0.0,0.0,-1.8861829286740202,1,1,1471.415318959869,11.77323367133079,-8.494428068443858,-4.116569326887934,2023-05-28
1672.0,1672.0,40.890096600521744,7.422373700986824,-0.5113373884798572,1,1,1003.6005804031845,0.235455603650157,-4.942626109651646,-6.11493119961628,2023-06-04
3040.0,1368.0,55.136195008360886,8.019941687677365,-0.22632688557651293,1,1,1216.108290293795,40.056069415436454,14.305731046765906,15.41589688953724,2023-06-11
100.0,-2940.0,10.0,4.61512051684126,-1.365133185524851,1,1,1795.987684192632,54.82679078406451,31.449435795513857,26.194781365533537,2023-06-18
910.0,810.0,30.166206257996713,6.814542897259958,-0.7564568394102642,1,1,1256.7734835162478,10.922134610276768,22.442252228390974,7.449348113859905,2023-06-25
1860.0,950.0,43.12771730569565,7.528869256642251,-0.46395438820247714,1,1,1146.5219831823922,39.00481072658937,37.50237117185871,29.805845984024845,2023-07-02
10431.0,8571.0,102.13226718329521,9.252633284166434,0.5351231461815626,1,1,1373.3617663507598,33.80976691504374,28.038916784052056,20.277858729130728,2023-07-09
5465.0,-4966.0,73.92563831310488,8.606302366488013,0.10344771137976405,0,1,4253.103881045446,100.7336283499009,34.88482353186415,32.57918720838716,2023-07-16
5257.0,-208.0,72.50517222929686,8.567506005289827,0.07992557967278621,0,1,4638.408328227192,94.68110134792498,77.12129215060838,63.059248861843066,2023-07-23
1392.0,-3865.0,37.30951621235526,7.239214973779806,-0.5896142080310994,0,1,4835.080401349486,76.18666607372599,79.32017038004535,58.55605173668914,2023-07-30
34137.0,32745.0,184.76200908195386,10.438166412324279,1.5602597023198514,0,1,3740.4039106048053,68.9760653995845,101.16821923856702,80.71504205389743,2023-08-06
2990.0,-31147.0,54.680892457969264,8.003363058629947,-0.2348904880663293,0,1,13404.552074173967,128.09497284715303,66.8095091518342,65.25795000097324,2023-08-13
4950.0,1960.0,70.35623639735144,8.507344855361422,0.04394895804564863,0,1,10093.399272523986,56.17801223161007,61.687883142952145,41.63534889366655,2023-08-20
